epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,200.813,1.14787,0.56378,1.1802,0.9795,0.97891,0.99065,0.66793,1.22783,0.54834,1.28284,0.000996313,0.000996313,0.000996313
43,205.436,1.14678,0.56086,1.19652,0.97427,0.97127,0.99066,0.67032,1.22632,0.53569,1.27743,0.000990125,0.000990125,0.000990125
44,210.101,1.12255,0.55329,1.18134,0.96467,0.98075,0.99319,0.67508,1.20869,0.53105,1.27154,0.000983938,0.000983938,0.000983938
45,214.771,1.10913,0.54736,1.15613,0.98142,0.97882,0.99168,0.65637,1.23204,0.53583,1.30829,0.00097775,0.00097775,0.00097775
46,219.448,1.11102,0.55105,1.15506,0.98631,0.98446,0.99251,0.68132,1.20281,0.52909,1.27616,0.000971562,0.000971562,0.000971562
47,224.195,1.12833,0.56359,1.18056,0.98302,0.97749,0.99187,0.67904,1.21886,0.53832,1.28516,0.000965375,0.000965375,0.000965375
48,228.842,1.09223,0.54865,1.15915,0.96647,0.96705,0.98839,0.65907,1.25391,0.56935,1.3271,0.000959187,0.000959187,0.000959187
49,233.483,1.13223,0.59008,1.16373,0.98144,0.96632,0.991,0.66248,1.25182,0.54769,1.29076,0.000953,0.000953,0.000953
50,238.206,1.10278,0.55023,1.16078,0.9786,0.97851,0.98761,0.66579,1.23538,0.54234,1.30496,0.000946812,0.000946812,0.000946812
51,242.857,1.09865,0.54408,1.16321,0.98524,0.9819,0.99201,0.67046,1.22491,0.54019,1.28527,0.000940625,0.000940625,0.000940625
52,247.535,1.08995,0.53794,1.15905,0.98557,0.97992,0.99108,0.68362,1.19516,0.53892,1.26745,0.000934438,0.000934438,0.000934438
53,252.175,1.09162,0.54583,1.15454,0.98927,0.97944,0.98966,0.67973,1.21827,0.5179,1.30108,0.00092825,0.00092825,0.00092825
54,256.834,1.08385,0.52719,1.15394,0.98329,0.98271,0.99313,0.66083,1.27239,0.53177,1.30115,0.000922063,0.000922063,0.000922063
55,261.582,1.08677,0.52218,1.1518,0.96901,0.99184,0.99223,0.67593,1.21566,0.5266,1.27207,0.000915875,0.000915875,0.000915875
56,266.266,1.10404,0.56074,1.14893,0.97687,0.97655,0.99119,0.6647,1.21792,0.51079,1.28102,0.000909688,0.000909688,0.000909688
57,270.925,1.08273,0.53962,1.13805,0.98388,0.97361,0.98915,0.66906,1.21449,0.53154,1.2709,0.0009035,0.0009035,0.0009035
58,275.608,1.10961,0.53357,1.15609,0.98909,0.98157,0.99237,0.68233,1.20194,0.51675,1.26661,0.000897313,0.000897313,0.000897313
59,280.261,1.08525,0.53597,1.15337,0.98921,0.98415,0.99155,0.67531,1.20626,0.50202,1.27726,0.000891125,0.000891125,0.000891125
60,284.944,1.08542,0.54202,1.13734,0.97005,0.9908,0.99231,0.68871,1.18913,0.51198,1.26458,0.000884938,0.000884938,0.000884938
61,289.598,1.08178,0.52667,1.1312,0.97958,0.98633,0.99268,0.6762,1.20596,0.52224,1.26992,0.00087875,0.00087875,0.00087875
62,294.272,1.06814,0.53233,1.13038,0.97355,0.98277,0.99009,0.67801,1.21285,0.52374,1.27465,0.000872563,0.000872563,0.000872563
63,298.93,1.07654,0.53017,1.13591,0.98339,0.97774,0.99154,0.66878,1.20936,0.52123,1.28806,0.000866375,0.000866375,0.000866375
64,303.606,1.07572,0.53041,1.15352,0.99279,0.97445,0.99188,0.67238,1.20016,0.51352,1.27757,0.000860188,0.000860188,0.000860188
65,308.271,1.06473,0.51968,1.13656,0.99094,0.98786,0.99225,0.68462,1.18774,0.49258,1.2637,0.000854,0.000854,0.000854
66,312.978,1.06052,0.50139,1.13708,0.97943,0.98663,0.9933,0.69147,1.18429,0.49623,1.25484,0.000847813,0.000847813,0.000847813
67,317.624,1.06864,0.52514,1.13237,0.98348,0.9715,0.992,0.68968,1.21081,0.50399,1.27583,0.000841625,0.000841625,0.000841625
68,322.315,1.04022,0.49989,1.12151,0.97154,0.98066,0.9927,0.68083,1.20023,0.49654,1.26969,0.000835438,0.000835438,0.000835438
69,326.981,1.05821,0.50448,1.12722,0.98588,0.98936,0.99228,0.69555,1.19968,0.48082,1.26605,0.00082925,0.00082925,0.00082925
70,331.654,1.04724,0.52659,1.12537,0.99087,0.97919,0.99221,0.68967,1.19558,0.48089,1.27574,0.000823063,0.000823063,0.000823063
71,336.299,1.04399,0.52645,1.12907,0.98283,0.98963,0.99308,0.67962,1.20327,0.50714,1.26383,0.000816875,0.000816875,0.000816875
72,340.962,1.0364,0.51039,1.12513,0.98228,0.97262,0.99148,0.67368,1.24735,0.51548,1.28937,0.000810688,0.000810688,0.000810688
73,345.595,1.0571,0.52141,1.12711,0.97934,0.98152,0.99018,0.68825,1.18349,0.50561,1.24278,0.0008045,0.0008045,0.0008045
74,350.266,1.05244,0.50658,1.14044,0.98854,0.9854,0.99245,0.69227,1.19673,0.49367,1.27307,0.000798313,0.000798313,0.000798313
75,354.928,1.06508,0.50931,1.14196,0.98388,0.98265,0.99336,0.68636,1.19742,0.49645,1.27901,0.000792125,0.000792125,0.000792125
76,359.596,1.02819,0.49471,1.11141,0.98102,0.97927,0.99248,0.69571,1.18652,0.48307,1.25448,0.000785938,0.000785938,0.000785938
77,364.281,1.03012,0.51433,1.12603,0.98709,0.98501,0.99106,0.68742,1.18946,0.48994,1.26822,0.00077975,0.00077975,0.00077975
78,368.964,1.03305,0.50202,1.12464,0.98271,0.96663,0.99075,0.68267,1.18797,0.50736,1.28244,0.000773563,0.000773563,0.000773563
79,373.61,1.03179,0.50962,1.12406,0.97857,0.96069,0.98919,0.66998,1.21952,0.53502,1.28743,0.000767375,0.000767375,0.000767375
80,378.258,1.00647,0.48465,1.10221,0.98544,0.98121,0.99014,0.69212,1.19869,0.48898,1.2653,0.000761188,0.000761188,0.000761188
81,382.905,1.01179,0.48944,1.10091,0.99253,0.97598,0.99227,0.70689,1.17069,0.48822,1.26709,0.000755,0.000755,0.000755
82,387.639,1.03784,0.51408,1.12494,0.98003,0.97458,0.99113,0.69133,1.18646,0.48539,1.26984,0.000748813,0.000748813,0.000748813
83,392.273,1.0201,0.47906,1.10842,0.98806,0.9695,0.99117,0.69657,1.19441,0.48736,1.27031,0.000742625,0.000742625,0.000742625
84,396.925,1.02088,0.49162,1.11011,0.98282,0.97579,0.99051,0.69557,1.16566,0.48351,1.25663,0.000736438,0.000736438,0.000736438
85,401.602,1.03625,0.50138,1.11932,0.97896,0.97571,0.98924,0.69463,1.17131,0.47438,1.25992,0.00073025,0.00073025,0.00073025
86,406.291,1.02788,0.50145,1.11753,0.98893,0.97688,0.99332,0.68443,1.17997,0.48148,1.25681,0.000724062,0.000724062,0.000724062
87,410.934,1.02924,0.50179,1.12583,0.96697,0.97949,0.98778,0.67711,1.17885,0.49678,1.26307,0.000717875,0.000717875,0.000717875
88,415.61,1.01371,0.49497,1.11666,0.98418,0.9769,0.99119,0.68738,1.16649,0.48435,1.2429,0.000711687,0.000711687,0.000711687
89,420.25,1.00272,0.48789,1.11009,0.98215,0.97361,0.99,0.68791,1.17915,0.48166,1.25976,0.0007055,0.0007055,0.0007055
90,424.935,1.00049,0.47482,1.10137,0.99165,0.98769,0.99233,0.68717,1.17736,0.47983,1.27186,0.000699312,0.000699312,0.000699312
91,429.582,0.9822,0.46325,1.09911,0.98633,0.98886,0.99202,0.68215,1.1853,0.47012,1.26001,0.000693125,0.000693125,0.000693125
92,434.248,0.98557,0.46547,1.09917,0.99002,0.98317,0.99281,0.6913,1.15825,0.47351,1.25301,0.000686937,0.000686937,0.000686937
93,438.889,0.99226,0.47243,1.10481,0.99106,0.97749,0.98989,0.69746,1.17525,0.48269,1.24745,0.00068075,0.00068075,0.00068075
94,443.537,1.00628,0.48147,1.09693,0.98147,0.98454,0.98928,0.70043,1.18307,0.47805,1.25946,0.000674562,0.000674562,0.000674562
95,448.214,0.97621,0.47937,1.08934,0.98696,0.98125,0.99106,0.68769,1.18695,0.48101,1.26603,0.000668375,0.000668375,0.000668375
96,452.923,0.98863,0.46854,1.09994,0.98745,0.98657,0.99072,0.67719,1.17522,0.49262,1.27113,0.000662188,0.000662188,0.000662188
97,457.577,0.97376,0.47634,1.09139,0.98251,0.9853,0.9912,0.68247,1.19944,0.47902,1.27046,0.000656,0.000656,0.000656
98,462.259,0.99953,0.47483,1.0939,0.98542,0.98576,0.9909,0.68796,1.18119,0.46186,1.25853,0.000649813,0.000649813,0.000649813
99,466.95,0.98611,0.46597,1.09891,0.98443,0.97897,0.98885,0.69012,1.1824,0.46733,1.27132,0.000643625,0.000643625,0.000643625
100,471.628,0.99792,0.46174,1.09964,0.98501,0.98476,0.99048,0.69113,1.16632,0.46646,1.26542,0.000637437,0.000637437,0.000637437
101,476.302,0.9707,0.44881,1.09275,0.97591,0.98966,0.99228,0.70576,1.16512,0.46137,1.25428,0.00063125,0.00063125,0.00063125
