epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,250.65,1.10109,0.6995,1.11771,0.98964,1,0.99277,0.66679,1.28835,0.62398,1.10352,0.00073025,0.00073025,0.00073025
44,255.997,1.07139,0.67167,1.09329,0.9858,1,0.99486,0.68172,1.18986,0.59717,1.08759,0.000717875,0.000717875,0.000717875
45,260.716,1.09243,0.68596,1.10625,0.98237,1,0.99372,0.69488,1.15051,0.59696,1.0665,0.0007055,0.0007055,0.0007055
46,266.183,1.08335,0.67392,1.1017,0.98963,1,0.99392,0.68989,1.18447,0.55365,1.07328,0.000693125,0.000693125,0.000693125
47,271.256,1.08928,0.64289,1.09747,0.98975,1,0.99297,0.66371,1.22968,0.5615,1.11567,0.00068075,0.00068075,0.00068075
48,276.18,1.08678,0.66907,1.10681,0.93844,0.99306,0.9629,0.63437,1.25745,0.70453,1.13336,0.000668375,0.000668375,0.000668375
49,281.693,1.0879,0.66965,1.1247,0.96527,0.99306,0.98859,0.69661,1.12234,0.63818,1.09448,0.000656,0.000656,0.000656
50,286.815,1.03719,0.6306,1.09723,0.99047,1,0.99486,0.70408,1.07851,0.51829,1.04409,0.000643625,0.000643625,0.000643625
51,291.688,1.07328,0.65731,1.12483,0.99119,1,0.99054,0.69904,1.1012,0.55812,1.08283,0.00063125,0.00063125,0.00063125
52,297.045,1.05368,0.63939,1.09813,0.98937,0.99316,0.99412,0.69901,1.14462,0.54499,1.07945,0.000618875,0.000618875,0.000618875
53,301.974,1.06918,0.62263,1.09557,0.98894,1,0.99034,0.70988,1.08605,0.52487,1.06243,0.0006065,0.0006065,0.0006065
54,307.29,1.06452,0.6385,1.09696,0.98942,1,0.98865,0.68337,1.14734,0.51654,1.07637,0.000594125,0.000594125,0.000594125
55,313.022,1.06793,0.64647,1.09524,0.99093,1,0.98939,0.68929,1.16234,0.54487,1.08415,0.00058175,0.00058175,0.00058175
56,318.005,1.04144,0.61283,1.08154,0.99095,1,0.98845,0.70554,1.11243,0.51722,1.06507,0.000569375,0.000569375,0.000569375
57,323.315,1.03441,0.63145,1.10048,0.99119,1,0.9898,0.69462,1.16274,0.54347,1.1032,0.000557,0.000557,0.000557
