epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,214.97,1.05403,0.61861,1.18832,0.99385,0.99306,0.99486,0.7077,1.18087,0.56677,1.47617,0.00073025,0.00073025,0.00073025
44,219.667,1.02691,0.61142,1.16692,0.99611,0.99306,0.99486,0.70932,1.12209,0.5172,1.4179,0.000717875,0.000717875,0.000717875
45,224.843,1.06261,0.61173,1.18117,0.99016,1,0.99486,0.70626,1.14348,0.53532,1.47977,0.0007055,0.0007055,0.0007055
46,229.978,1.06943,0.60396,1.19202,0.98908,1,0.99446,0.71205,1.16149,0.52364,1.46721,0.000693125,0.000693125,0.000693125
47,234.296,1.04224,0.57783,1.17107,0.98912,0.99855,0.99318,0.6986,1.14777,0.53692,1.47463,0.00068075,0.00068075,0.00068075
48,239.698,1.03194,0.5906,1.18731,0.99068,1,0.99182,0.70804,1.10896,0.52812,1.39348,0.000668375,0.000668375,0.000668375
49,244.155,1.05614,0.59311,1.20116,0.99017,1,0.9898,0.71175,1.07105,0.52708,1.34845,0.000656,0.000656,0.000656
50,248.669,1.00915,0.56263,1.15816,0.99081,1,0.99372,0.71224,1.11046,0.52047,1.38606,0.000643625,0.000643625,0.000643625
51,254.005,1.03856,0.58179,1.18365,0.99,1,0.99297,0.71276,1.09656,0.53362,1.36969,0.00063125,0.00063125,0.00063125
52,258.778,1.04131,0.57225,1.17255,0.99166,1,0.99331,0.72249,1.08982,0.50061,1.36014,0.000618875,0.000618875,0.000618875
53,263.256,1.04988,0.55934,1.17934,0.99095,1,0.99203,0.72008,1.0782,0.49028,1.33788,0.0006065,0.0006065,0.0006065
54,268.65,1.02861,0.57084,1.19175,0.99055,1,0.99203,0.70798,1.10082,0.49081,1.36009,0.000594125,0.000594125,0.000594125
55,273.356,1.05149,0.57181,1.17095,0.99159,1,0.99318,0.70893,1.10661,0.50644,1.36579,0.00058175,0.00058175,0.00058175
56,278.11,1.02388,0.54511,1.17663,0.98988,1,0.98939,0.72761,1.05349,0.48564,1.33184,0.000569375,0.000569375,0.000569375
57,283.251,1.00732,0.54101,1.15284,0.98803,1,0.99182,0.72061,1.0669,0.50156,1.32189,0.000557,0.000557,0.000557
58,287.913,0.98749,0.54706,1.14828,0.99073,1,0.99088,0.72904,1.00311,0.47387,1.28285,0.000544625,0.000544625,0.000544625
59,292.996,0.99782,0.53993,1.15796,0.98899,1,0.99257,0.72675,1.03244,0.48039,1.31419,0.00053225,0.00053225,0.00053225
60,298.56,1.00292,0.52917,1.16436,0.99136,1,0.99392,0.73198,1.0399,0.49354,1.34142,0.000519875,0.000519875,0.000519875
61,303.443,1.03049,0.54621,1.16003,0.99092,1,0.99182,0.71863,1.10619,0.50117,1.36807,0.0005075,0.0005075,0.0005075
62,308.272,1.0007,0.53978,1.16654,0.99073,1,0.99257,0.73368,1.02059,0.46801,1.31478,0.000495125,0.000495125,0.000495125
63,313.767,0.97524,0.51637,1.14374,0.98882,0.99941,0.99426,0.73488,1.03041,0.47402,1.32088,0.00048275,0.00048275,0.00048275
64,318.277,1.01866,0.531,1.1666,0.98773,0.99906,0.99426,0.71923,1.04732,0.4878,1.29961,0.000470375,0.000470375,0.000470375
65,322.921,0.99719,0.5268,1.13513,0.99058,1,0.99162,0.72305,1.0614,0.47962,1.31866,0.000458,0.000458,0.000458
66,327.99,1.00356,0.52708,1.14458,0.98981,1,0.99446,0.72391,1.02881,0.47634,1.32313,0.000445625,0.000445625,0.000445625
67,332.519,0.95728,0.51428,1.14405,0.98999,1,0.99446,0.72958,1.03479,0.47204,1.29095,0.00043325,0.00043325,0.00043325
68,337.76,0.96037,0.51827,1.1274,0.99149,1,0.99392,0.72226,1.10407,0.49586,1.37528,0.000420875,0.000420875,0.000420875
69,342.738,0.97438,0.50641,1.13865,0.99164,1,0.99034,0.73012,1.08195,0.4865,1.32737,0.0004085,0.0004085,0.0004085
70,347.036,0.94435,0.51141,1.12136,0.99115,1,0.98993,0.71047,1.11601,0.47562,1.38152,0.000396125,0.000396125,0.000396125
71,352.024,0.95612,0.49794,1.12961,0.99114,1,0.99257,0.73081,1.05044,0.46862,1.33279,0.00038375,0.00038375,0.00038375
72,356.927,0.96245,0.51078,1.13636,0.99055,1,0.99257,0.74144,1.00625,0.46044,1.29695,0.000371375,0.000371375,0.000371375
73,361.402,0.96328,0.50988,1.12622,0.99154,1,0.99074,0.72645,1.03004,0.45185,1.30715,0.000359,0.000359,0.000359
74,366.655,0.96125,0.49476,1.12954,0.99157,1,0.99128,0.71702,1.06212,0.45729,1.34644,0.000346625,0.000346625,0.000346625
75,371.364,0.96293,0.49833,1.1225,0.99058,1,0.99203,0.72898,1.03162,0.45118,1.3065,0.00033425,0.00033425,0.00033425
76,375.749,0.95843,0.50085,1.12902,0.9916,1,0.99074,0.73153,1.02825,0.44423,1.30285,0.000321875,0.000321875,0.000321875
77,380.895,0.95032,0.48422,1.12514,0.99063,1,0.99182,0.73829,1.00646,0.44586,1.27644,0.0003095,0.0003095,0.0003095
78,385.625,0.94132,0.49324,1.12744,0.99061,1,0.99128,0.72848,1.01886,0.45486,1.29272,0.000297125,0.000297125,0.000297125
79,389.957,0.96545,0.50738,1.14341,0.99089,1,0.99128,0.73034,1.00242,0.45162,1.28506,0.00028475,0.00028475,0.00028475
80,395.104,0.9282,0.4747,1.11228,0.99103,1,0.99277,0.73796,1.0347,0.46036,1.33231,0.000272375,0.000272375,0.000272375
81,399.793,0.9468,0.47769,1.1193,0.99152,1,0.99128,0.74111,1.01432,0.46032,1.30863,0.00026,0.00026,0.00026
82,404.422,0.93173,0.46884,1.13272,0.9916,1,0.99108,0.73484,0.99313,0.42794,1.2886,0.000247625,0.000247625,0.000247625
83,409.718,0.92699,0.47753,1.11723,0.99121,1,0.99182,0.73528,0.9945,0.43568,1.2957,0.00023525,0.00023525,0.00023525
84,414.364,0.94388,0.46899,1.11802,0.99086,1,0.99446,0.74329,0.99047,0.42447,1.31337,0.000222875,0.000222875,0.000222875
85,420.407,0.92209,0.46531,1.12254,0.99155,1,0.99351,0.74437,1.00184,0.43648,1.31639,0.0002105,0.0002105,0.0002105
86,425.759,0.90992,0.45859,1.10533,0.99156,1,0.99426,0.74228,0.99906,0.43564,1.31016,0.000198125,0.000198125,0.000198125
87,430.3,0.91054,0.46102,1.11425,0.99135,1,0.99466,0.74264,0.99113,0.42939,1.30485,0.00018575,0.00018575,0.00018575
88,435.372,0.91962,0.45977,1.10361,0.99172,1,0.99446,0.74397,0.98117,0.42809,1.29061,0.000173375,0.000173375,0.000173375
89,440.245,0.89091,0.45775,1.0999,0.99188,1,0.99486,0.7439,0.97045,0.42136,1.28518,0.000161,0.000161,0.000161
90,444.72,0.88606,0.44918,1.10157,0.99148,1,0.99486,0.74469,0.98558,0.41534,1.28224,0.000148625,0.000148625,0.000148625
91,452.678,0.86025,0.43555,1.1542,0.99135,1,0.99446,0.74897,0.98731,0.41472,1.2742,0.00013625,0.00013625,0.00013625
92,457.418,0.84935,0.43181,1.15034,0.99113,1,0.99426,0.74038,0.98126,0.42183,1.26992,0.000123875,0.000123875,0.000123875
93,462.314,0.84197,0.4249,1.11834,0.99117,1,0.99426,0.74086,0.98658,0.42083,1.26903,0.0001115,0.0001115,0.0001115
94,467.134,0.84631,0.42385,1.12387,0.99153,1,0.99372,0.74751,0.98886,0.41695,1.26973,9.9125e-05,9.9125e-05,9.9125e-05
95,471.645,0.84228,0.42287,1.13027,0.9916,1,0.99203,0.74674,0.97322,0.41797,1.25927,8.675e-05,8.675e-05,8.675e-05
96,476.469,0.8292,0.4159,1.10415,0.9912,1,0.99128,0.74345,0.96689,0.41195,1.25862,7.4375e-05,7.4375e-05,7.4375e-05
97,481.496,0.83443,0.41232,1.11196,0.99138,1,0.99162,0.74709,0.96636,0.41201,1.26137,6.2e-05,6.2e-05,6.2e-05
98,485.972,0.83822,0.41054,1.10841,0.99149,1,0.99203,0.74745,0.96288,0.41367,1.25966,4.9625e-05,4.9625e-05,4.9625e-05
99,490.505,0.82187,0.40945,1.12504,0.99153,1,0.99318,0.74626,0.9602,0.41413,1.26092,3.725e-05,3.725e-05,3.725e-05
100,495.445,0.84079,0.41102,1.11219,0.99152,1,0.99297,0.74979,0.9533,0.41609,1.25941,2.4875e-05,2.4875e-05,2.4875e-05
